"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-12-04T03:00:00.000Z","189.98","190.05","187.45","189.43","-0.95","-1.02","43,389,500"
"2023-12-05T03:00:00.000Z","190.21","194.40","190.18","193.42","2.11","2.03","66,628,400"
"2023-12-06T03:00:00.000Z","194.45","194.76","192.11","192.32","-0.57","-0.65","41,089,700"
"2023-12-07T03:00:00.000Z","193.63","195.00","193.59","194.27","1.01","0.94","47,477,700"
"2023-12-08T03:00:00.000Z","194.20","195.99","193.67","195.71","0.74","0.66","53,377,300"
"2023-12-11T03:00:00.000Z","193.11","193.49","191.42","193.18","-1.29","-1.37","60,943,700"
"2023-12-12T03:00:00.000Z","193.08","194.72","191.72","194.71","0.79","0.71","52,696,900"
"2023-12-13T03:00:00.000Z","195.09","198.00","194.85","197.96","1.67","1.59","70,404,200"
"2023-12-14T03:00:00.000Z","198.02","199.62","196.16","198.11","0.08","0","66,831,600"
"2023-12-15T03:00:00.000Z","197.53","198.40","197.00","197.57","-0.27","-0.35","128,256,700"
"2023-12-18T03:00:00.000Z","196.09","196.63","194.39","195.89","-0.85","-0.93","55,751,900"
"2023-12-19T03:00:00.000Z","196.16","196.95","195.89","196.94","0.54","0.46","40,714,100"
"2023-12-20T03:00:00.000Z","196.90","197.68","194.83","194.83","-1.07","-1.15","52,242,800"
"2023-12-21T03:00:00.000Z","196.10","197.08","193.50","194.68","-0.08","-0.15","46,482,500"
"2023-12-22T03:00:00.000Z","195.18","195.41","192.97","193.60","-0.55","-0.63","37,122,800"
"2023-12-26T03:00:00.000Z","193.61","193.89","192.83","193.05","-0.28","-0.36","28,919,300"
"2023-12-27T03:00:00.000Z","192.49","193.50","191.09","193.15","0.05","-0.03","48,087,700"
"2023-12-28T03:00:00.000Z","194.14","194.66","193.17","193.58","0.22","0.15","34,049,900"
"2023-12-29T03:00:00.000Z","193.90","194.40","191.73","192.53","-0.54","-0.62","42,628,800"
"2024-01-02T03:00:00.000Z","187.15","188.44","183.89","185.64","-3.58","-3.66","82,488,700"
"2024-01-03T03:00:00.000Z","184.22","185.88","183.43","184.25","-0.75","-0.83","58,414,500"
"2024-01-04T03:00:00.000Z","182.15","183.09","180.88","181.91","-1.27","-1.35","71,983,600"
"2024-01-05T03:00:00.000Z","181.99","182.76","180.17","181.18","-0.40","-0.48","62,303,300"
"2024-01-08T03:00:00.000Z","182.09","185.60","181.50","185.56","2.42","2.34","59,144,500"
"2024-01-09T03:00:00.000Z","183.92","185.15","182.73","185.14","-0.23","-0.30","42,841,800"
"2024-01-10T03:00:00.000Z","184.35","186.40","183.92","186.19","0.57","0.49","46,792,900"
"2024-01-11T03:00:00.000Z","186.54","187.05","183.62","185.59","-0.32","-0.40","49,128,400"
"2024-01-12T03:00:00.000Z","186.06","186.74","185.19","185.92","0.18","0.10","40,444,700"
"2024-01-16T03:00:00.000Z","182.16","184.26","180.93","183.63","-1.23","-1.31","65,603,000"
"2024-01-17T03:00:00.000Z","181.27","182.93","180.30","182.68","-0.52","-0.59","47,317,400"
"2024-01-18T03:00:00.000Z","186.09","189.14","185.83","188.63","3.26","3.18","78,005,800"
"2024-01-19T03:00:00.000Z","189.33","191.95","188.82","191.56","1.55","1.48","68,741,000"
"2024-01-22T03:00:00.000Z","192.30","195.33","192.26","193.89","1.22","1.14","60,133,900"
"2024-01-23T03:00:00.000Z","195.02","195.75","193.83","195.18","0.67","0.59","42,355,600"
"2024-01-24T03:00:00.000Z","195.42","196.38","194.34","194.50","-0.35","-0.43","53,631,300"
"2024-01-25T03:00:00.000Z","195.22","196.27","193.11","194.17","-0.17","-0.25","54,822,100"
"2024-01-26T03:00:00.000Z","194.27","194.76","191.94","192.42","-0.90","-0.98","44,594,000"
"2024-01-29T03:00:00.000Z","192.01","192.20","189.58","191.73","-0.36","-0.44","47,145,600"
"2024-01-30T03:00:00.000Z","190.94","191.80","187.47","188.04","-1.92","-2.00","55,859,400"
"2024-01-31T03:00:00.000Z","187.04","187.10","184.35","184.40","-1.94","-2.01","55,467,800"
"2024-02-01T03:00:00.000Z","183.99","186.95","183.82","186.86","1.33","1.26","64,885,400"
"2024-02-02T03:00:00.000Z","179.86","187.33","179.25","185.85","-0.54","-0.62","102,518,000"
"2024-02-05T03:00:00.000Z","188.15","189.25","185.84","187.68","0.98","0.91","69,668,800"
"2024-02-06T03:00:00.000Z","186.86","189.31","186.77","189.30","0.86","0.79","43,490,800"
"2024-02-07T03:00:00.000Z","190.64","191.05","188.61","189.41","0.06","-0.02","53,439,000"
"2024-02-08T03:00:00.000Z","189.39","189.54","187.35","188.32","-0.58","-0.65","40,962,000"
"2024-02-09T03:00:00.000Z","188.65","189.99","188.00","188.85","0.28","0.20","45,155,200"
"2024-02-12T03:00:00.000Z","188.42","188.67","186.79","187.15","-0.90","-0.98","41,781,900"
"2024-02-13T03:00:00.000Z","185.77","186.21","183.51","185.04","-1.13","-1.21","56,529,500"
"2024-02-14T03:00:00.000Z","185.32","185.53","182.44","184.15","-0.48","-0.56","54,630,500"
"2024-02-15T03:00:00.000Z","183.55","184.49","181.35","183.86","-0.16","-0.24","65,434,500"
"2024-02-16T03:00:00.000Z","183.42","184.85","181.67","182.31","-0.84","-0.92","49,701,400"
"2024-02-20T03:00:00.000Z","181.79","182.43","180.00","181.56","-0.41","-0.49","53,665,600"
"2024-02-21T03:00:00.000Z","181.94","182.89","180.66","182.32","0.42","0.34","41,529,700"
"2024-02-22T03:00:00.000Z","183.48","184.96","182.46","184.37","1.12","1.05","52,292,200"
"2024-02-23T03:00:00.000Z","185.01","185.04","182.23","182.52","-1.00","-1.08","45,119,700"
"2024-02-26T03:00:00.000Z","182.24","182.76","180.65","181.16","-0.75","-0.82","40,867,400"
"2024-02-27T03:00:00.000Z","181.10","183.92","179.56","182.63","0.81","0.73","54,318,900"
"2024-02-28T03:00:00.000Z","182.51","183.12","180.13","181.42","-0.66","-0.74","48,953,900"
"2024-02-29T03:00:00.000Z","181.27","182.57","179.53","180.75","-0.37","-0.45","136,682,600"
"2024-03-01T03:00:00.000Z","179.55","180.53","177.38","179.66","-0.60","-0.68","73,488,000"
"2024-03-04T03:00:00.000Z","176.15","176.90","173.79","175.10","-2.54","-2.62","81,510,100"
"2024-03-05T03:00:00.000Z","170.76","172.04","169.62","170.12","-2.84","-2.92","95,132,400"
"2024-03-06T03:00:00.000Z","171.06","171.24","168.68","169.12","-0.59","-0.67","68,587,700"
"2024-03-07T03:00:00.000Z","169.15","170.73","168.49","169.00","-0.07","-0.15","71,765,100"
"2024-03-08T03:00:00.000Z","169.00","173.70","168.94","170.73","1.02","0.95","76,114,600"
"2024-03-11T03:00:00.000Z","172.94","174.38","172.05","172.75","1.18","1.11","60,139,500"
"2024-03-12T03:00:00.000Z","173.15","174.03","171.01","173.23","0.28","0.20","59,825,400"
"2024-03-13T03:00:00.000Z","172.77","173.19","170.76","171.13","-1.21","-1.29","52,488,700"
"2024-03-14T03:00:00.000Z","172.91","174.31","172.05","173.00","1.09","1.02","72,913,500"
"2024-03-15T03:00:00.000Z","171.17","172.62","170.29","172.62","-0.22","-0.30","121,664,700"
"2024-03-18T03:00:00.000Z","175.57","177.71","173.52","173.72","0.64","0.56","75,604,200"
"2024-03-19T03:00:00.000Z","174.34","176.61","173.03","176.08","1.36","1.28","55,215,200"
"2024-03-20T03:00:00.000Z","175.72","178.67","175.09","178.67","1.47","1.39","53,423,100"
"2024-03-21T03:00:00.000Z","177.05","177.49","170.84","171.37","-4.09","-4.16","106,181,300"
"2024-03-22T03:00:00.000Z","171.76","173.05","170.06","172.28","0.53","0.45","71,106,600"
"2024-03-25T03:00:00.000Z","170.57","171.94","169.45","170.85","-0.83","-0.91","54,288,300"
"2024-03-26T03:00:00.000Z","170.00","171.42","169.58","169.71","-0.67","-0.74","57,388,400"
"2024-03-27T03:00:00.000Z","170.41","173.60","170.11","173.31","2.12","2.04","60,273,300"
"2024-03-28T03:00:00.000Z","171.75","172.23","170.51","171.48","-1.06","-1.13","65,672,700"
"2024-04-01T03:00:00.000Z","171.19","171.25","169.48","170.03","-0.85","-0.92","46,240,500"
"2024-04-02T03:00:00.000Z","169.08","169.34","168.23","168.84","-0.70","-0.78","49,329,500"
"2024-04-03T03:00:00.000Z","168.79","170.68","168.58","169.65","0.48","0.40","47,691,700"
"2024-04-04T03:00:00.000Z","170.29","171.92","168.82","168.82","-0.49","-0.57","53,704,400"
"2024-04-05T03:00:00.000Z","169.59","170.39","168.95","169.58","0.45","0.37","42,055,200"
"2024-04-08T03:00:00.000Z","169.03","169.20","168.24","168.45","-0.67","-0.74","37,425,500"
"2024-04-09T03:00:00.000Z","168.70","170.08","168.35","169.67","0.72","0.65","42,451,200"
"2024-04-10T03:00:00.000Z","168.80","169.09","167.11","167.78","-1.11","-1.19","49,709,300"
"2024-04-11T03:00:00.000Z","168.34","175.46","168.16","175.04","4.33","4.25","91,070,300"
"2024-04-12T03:00:00.000Z","174.26","178.36","174.21","176.55","0.86","0.79","101,593,300"
"2024-04-15T03:00:00.000Z","175.36","176.63","172.50","172.69","-2.19","-2.26","73,531,800"
"2024-04-16T03:00:00.000Z","171.75","173.76","168.27","169.38","-1.92","-1.99","73,711,200"
"2024-04-17T03:00:00.000Z","169.61","170.65","168.00","168.00","-0.81","-0.89","50,901,200"
"2024-04-18T03:00:00.000Z","168.03","168.64","166.55","167.04","-0.57","-0.65","43,122,900"
"2024-04-19T03:00:00.000Z","166.21","166.40","164.08","165.00","-1.22","-1.30","67,772,100"
"2024-04-22T03:00:00.000Z","165.52","167.26","164.77","165.84","0.51","0.43","48,116,400"
"2024-04-23T03:00:00.000Z","165.35","167.05","164.92","166.90","0.64","0.56","49,537,800"
