"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-12-04T03:00:00.000Z","235.75","239.37","233.29","235.58","-1.36","-1.60","104,099,800"
"2023-12-05T03:00:00.000Z","233.87","246.66","233.70","238.72","1.33","1.10","137,971,100"
"2023-12-06T03:00:00.000Z","242.92","246.57","239.17","239.37","0.27","0.04","126,436,200"
"2023-12-07T03:00:00.000Z","241.55","244.08","236.98","242.64","1.37","1.13","107,142,300"
"2023-12-08T03:00:00.000Z","240.27","245.27","239.27","243.84","0.49","0.26","102,980,100"
"2023-12-11T03:00:00.000Z","242.74","243.44","237.45","239.74","-1.68","-1.92","97,913,900"
"2023-12-12T03:00:00.000Z","238.55","238.99","233.87","237.01","-1.14","-1.37","95,328,300"
"2023-12-13T03:00:00.000Z","234.19","240.30","228.20","239.29","0.96","0.73","146,286,300"
"2023-12-14T03:00:00.000Z","241.22","253.88","240.79","251.05","4.91","4.68","160,829,200"
"2023-12-15T03:00:00.000Z","251.21","254.13","248.30","253.50","0.98","0.74","135,720,800"
"2023-12-18T03:00:00.000Z","253.78","258.74","251.36","252.08","-0.56","-0.80","116,416,500"
"2023-12-19T03:00:00.000Z","253.48","258.34","253.01","257.22","2.04","1.80","106,737,400"
"2023-12-20T03:00:00.000Z","256.41","259.84","247.00","247.14","-3.92","-4.15","125,097,000"
"2023-12-21T03:00:00.000Z","251.90","254.80","248.55","254.50","2.98","2.74","109,594,200"
"2023-12-22T03:00:00.000Z","256.76","258.22","251.37","252.54","-0.77","-1.01","93,249,800"
"2023-12-26T03:00:00.000Z","254.49","257.97","252.91","256.61","1.61","1.38","86,892,400"
"2023-12-27T03:00:00.000Z","258.35","263.34","257.52","261.44","1.88","1.65","106,494,400"
"2023-12-28T03:00:00.000Z","263.66","265.13","252.71","253.18","-3.16","-3.39","113,619,900"
"2023-12-29T03:00:00.000Z","255.10","255.19","247.43","248.48","-1.86","-2.09","100,615,300"
"2024-01-02T03:00:00.000Z","250.08","251.25","244.41","248.42","-0.02","-0.26","104,654,200"
"2024-01-03T03:00:00.000Z","244.98","245.68","236.32","238.45","-4.01","-4.25","121,082,600"
"2024-01-04T03:00:00.000Z","239.25","242.70","237.73","237.93","-0.22","-0.45","102,629,300"
"2024-01-05T03:00:00.000Z","236.86","240.12","234.90","237.49","-0.18","-0.42","92,379,400"
