Date,Open,High,Low,Close,Adj Close,Volume
2023-12-07,14.9,15.6,14.9,15.2,15.2,10
2023-12-08,15.5,15.9,15.5,15.9,15.9,80
2023-12-11,16.1,16.1,15.8,15.8,15.8,80
2023-12-12,15.7,15.9,15.7,15.9,15.9,0
2023-12-13,16.0,16.1,16.0,16.1,16.1,0
2023-12-14,16.0,16.4,15.8,15.8,15.8,300
2023-12-15,15.9,15.9,15.6,15.6,15.6,65
2023-12-18,15.8,16.1,15.8,16.0,16.0,52
2023-12-19,15.8,15.8,15.7,15.7,15.7,0
2023-12-20,15.6,16.1,15.6,16.1,16.1,0
2023-12-21,16.2,16.4,16.0,16.0,16.0,60
2023-12-22,16.2,16.2,15.9,15.9,15.9,50
2023-12-27,16.0,16.0,16.0,16.0,16.0,1
2023-12-28,15.3,15.7,15.2,15.3,15.3,1216
2023-12-29,15.2,15.2,15.2,15.2,15.2,0
2024-01-02,15.4,15.4,14.9,14.9,14.9,129
2024-01-03,14.9,15.4,14.9,15.4,15.4,0
2024-01-04,15.1,15.1,15.1,15.1,15.1,0
2024-01-05,14.7,15.2,14.7,15.2,15.2,0
2024-01-08,15.1,15.1,15.1,15.1,15.1,0
2024-01-09,15.0,15.0,14.6,14.6,14.6,0
2024-01-10,14.5,14.5,14.5,14.5,14.5,0
2024-01-11,14.3,14.5,14.3,14.5,14.5,0
2024-01-12,14.4,14.4,14.4,14.4,14.4,0
2024-01-15,14.3,14.3,14.2,14.2,14.2,0
2024-01-16,14.2,14.2,13.7,13.7,13.7,0
2024-01-17,13.5,13.7,13.5,13.7,13.7,0
2024-01-18,13.6,14.0,13.6,14.0,14.0,0
2024-01-19,13.8,14.2,13.8,14.2,14.2,0
2024-01-22,14.5,14.5,14.5,14.5,14.5,500
2024-01-23,14.2,14.6,14.2,14.6,14.6,0
2024-01-24,14.3,15.0,14.3,15.0,15.0,0
2024-01-25,14.9,15.9,14.9,15.9,15.9,50
2024-01-26,15.8,16.3,15.8,16.3,16.3,0
2024-01-29,16.1,16.1,15.8,16.1,16.1,1000
2024-01-30,16.4,16.4,15.9,15.9,15.9,50
2024-01-31,15.8,15.9,15.8,15.9,15.9,0
2024-02-01,15.8,16.0,15.8,16.0,16.0,0
2024-02-02,15.9,15.9,15.9,15.9,15.9,0
2024-02-05,15.7,15.7,15.7,15.7,15.7,0
2024-02-06,15.1,15.1,15.1,15.1,15.1,0
2024-02-07,14.2,14.9,14.2,14.9,14.9,0
2024-02-08,14.7,14.7,14.7,14.7,14.7,0
2024-02-09,14.5,15.4,14.5,15.4,15.4,0
2024-02-12,15.2,15.5,15.2,15.5,15.5,0
2024-02-13,15.3,15.5,15.3,15.5,15.5,0
2024-02-14,15.4,15.9,15.4,15.8,15.8,169
2024-02-15,15.7,15.7,15.7,15.7,15.7,0
2024-02-16,15.6,15.6,15.6,15.6,15.6,0
2024-02-19,15.4,15.4,15.4,15.4,15.4,0
2024-02-20,15.4,15.4,15.4,15.4,15.4,0
2024-02-21,15.3,15.6,15.3,15.6,15.6,0
2024-02-22,15.7,17.0,15.7,16.6,16.6,209
2024-02-23,16.5,16.7,16.5,16.7,16.7,0
2024-02-26,16.4,16.4,16.4,16.4,16.4,0
2024-02-27,16.4,16.4,16.0,16.0,16.0,0
2024-02-28,15.9,15.9,15.7,15.7,15.7,0
2024-02-29,15.5,16.0,15.5,16.0,16.0,0
2024-03-01,15.8,16.4,15.8,16.4,16.4,1130
2024-03-04,16.2,16.2,16.2,16.2,16.2,0
2024-03-05,17.0,17.0,16.8,16.8,16.8,0
2024-03-06,16.6,17.1,16.6,17.1,17.1,0
2024-03-07,16.8,16.9,16.7,16.7,16.7,480
2024-03-08,16.5,16.5,16.1,16.1,16.1,0
2024-03-11,15.9,15.9,15.8,15.8,15.8,0
2024-03-12,15.8,16.1,15.8,16.1,16.1,0
2024-03-13,15.8,16.2,15.8,16.2,16.2,0
2024-03-14,16.3,16.5,16.3,16.5,16.5,0
2024-03-15,16.4,16.6,16.4,16.6,16.6,0
2024-03-18,16.7,16.7,16.6,16.6,16.6,250
2024-03-19,18.0,18.0,17.4,17.4,17.4,500
2024-03-20,17.4,17.7,17.4,17.7,17.7,300
2024-03-21,17.5,18.5,17.5,18.4,18.4,210
2024-03-22,18.9,18.9,18.7,18.7,18.7,50
2024-03-25,18.5,19.7,18.5,18.6,18.6,468
2024-03-26,18.5,19.0,18.2,18.2,18.2,10
2024-03-27,18.2,18.6,18.2,18.5,18.5,160
2024-03-28,18.4,18.4,18.3,18.3,18.3,0
2024-04-02,18.0,18.4,18.0,18.4,18.4,370
2024-04-03,18.2,19.0,18.2,19.0,19.0,0
2024-04-04,18.8,18.9,18.7,18.7,18.7,70
2024-04-05,19.0,19.4,18.9,19.4,19.4,601
2024-04-08,19.2,19.6,19.2,19.6,19.6,80
2024-04-09,20.0,20.0,19.8,19.8,19.8,50
2024-04-10,19.8,19.9,19.8,19.9,19.9,25
2024-04-11,19.7,20.0,19.7,20.0,20.0,0
2024-04-12,20.2,20.2,20.2,20.2,20.2,0
2024-04-15,20.0,20.0,20.0,20.0,20.0,50
2024-04-16,18.8,18.9,18.8,18.9,18.9,0
2024-04-17,18.8,18.8,18.2,18.2,18.2,1000
2024-04-18,18.0,18.4,18.0,18.4,18.4,1250
2024-04-19,17.9,18.0,17.9,18.0,18.0,0
2024-04-22,18.0,19.3,18.0,19.3,19.3,0
2024-04-23,19.8,19.8,19.4,19.4,19.4,960
2024-04-24,19.3,19.5,18.9,18.9,18.9,51
2024-04-25,18.5,18.8,18.5,18.8,18.8,0
2024-04-26,18.7,19.6,18.7,19.6,19.6,30
2024-04-29,19.5,19.9,19.5,19.9,19.9,0
2024-04-30,19.8,21.0,19.8,20.6,20.6,50
2024-05-02,20.4,21.0,20.4,21.0,21.0,50
2024-05-03,20.8,22.0,20.8,21.4,21.4,230
2024-05-06,21.6,21.8,21.6,21.8,21.8,110
2024-05-07,22.2,22.6,22.2,22.2,22.2,50
2024-05-08,22.2,22.6,22.2,22.6,22.6,0
2024-05-09,22.6,23.0,22.6,22.6,22.6,360
2024-05-10,22.6,23.0,21.2,21.2,21.2,390
2024-05-13,21.0,21.0,21.0,21.0,21.0,0
2024-05-14,21.0,21.4,21.0,21.0,21.0,30
2024-05-15,21.2,21.2,21.2,21.2,21.2,0
2024-05-16,21.8,22.2,21.6,21.6,21.6,100
2024-05-17,21.6,21.6,21.6,21.6,21.6,0
2024-05-20,21.4,21.8,21.4,21.8,21.8,44
2024-05-21,21.8,22.0,21.2,21.4,21.4,1185
2024-05-22,21.6,21.6,20.0,20.0,20.0,0
2024-05-23,19.9,20.0,19.8,19.8,19.8,105
2024-05-24,19.5,19.5,19.3,19.3,19.3,0
2024-05-27,19.1,19.3,19.1,19.3,19.3,250
2024-05-28,18.7,20.4,18.7,20.4,20.4,500
2024-05-29,20.4,20.6,20.4,20.6,20.6,0
2024-05-30,21.0,21.6,21.0,21.6,21.6,0
2024-05-31,22.0,22.0,21.4,21.4,21.4,150
2024-06-03,21.4,21.4,20.6,20.6,20.6,5
2024-06-04,20.2,20.2,18.6,18.6,18.6,250
2024-06-05,18.9,19.0,18.9,19.0,19.0,6
2024-06-06,18.9,18.9,18.4,18.4,18.4,0
2024-06-07,18.3,18.5,18.3,18.5,18.5,0
2024-06-10,18.4,18.4,18.4,18.4,18.4,0
2024-06-11,19.1,19.1,18.8,18.8,18.8,928
2024-06-12,18.6,19.1,18.6,19.1,19.1,0
2024-06-13,19.0,19.7,19.0,19.7,19.7,0
2024-06-14,19.5,19.6,19.5,19.6,19.6,0
2024-06-17,19.3,19.3,18.9,19.0,19.0,1280
2024-06-18,18.8,19.4,18.8,19.4,19.4,0
2024-06-19,19.3,19.5,19.3,19.5,19.5,60
2024-06-20,19.4,19.4,19.3,19.3,19.3,0
2024-06-21,19.2,19.2,19.2,19.2,19.2,0
2024-06-24,18.7,19.2,18.7,19.2,19.2,0
2024-06-25,19.1,19.3,19.1,19.3,19.3,0
2024-06-26,19.2,19.2,18.9,18.9,18.9,0
2024-06-27,18.7,19.3,18.7,19.3,19.3,0
2024-06-28,19.2,19.2,18.7,18.7,18.7,0
2024-07-01,18.5,18.5,18.5,18.5,18.5,0
2024-07-02,17.9,18.5,17.9,18.5,18.5,11
2024-07-03,18.4,18.8,18.4,18.6,18.6,120
2024-07-04,18.5,18.5,18.3,18.3,18.3,0
2024-07-05,18.3,18.7,18.3,18.4,18.4,45
2024-07-08,18.3,18.3,18.3,18.3,18.3,0
2024-07-09,18.8,19.1,18.8,19.1,19.1,0
2024-07-10,18.9,19.5,18.9,19.3,19.3,986
2024-07-11,19.2,19.5,19.2,19.5,19.5,0
2024-07-12,19.2,19.4,19.2,19.4,19.4,0
2024-07-15,19.3,19.5,19.3,19.5,19.5,129
2024-07-16,19.1,19.1,18.9,18.9,18.9,0
2024-07-17,18.6,18.6,18.1,18.1,18.1,60
2024-07-18,17.9,18.2,17.9,18.2,18.2,0
2024-07-19,18.0,18.0,18.0,18.0,18.0,0
2024-07-22,18.3,18.3,18.2,18.2,18.2,250
2024-07-23,18.3,18.8,18.3,18.8,18.8,0
2024-07-24,18.6,18.6,18.1,18.1,18.1,0
2024-07-25,17.9,18.1,17.9,18.1,18.1,0
2024-07-26,18.0,18.0,18.0,18.0,18.0,0
2024-07-29,18.2,18.2,17.8,17.8,17.8,0
2024-07-30,17.6,17.6,17.5,17.5,17.5,0
2024-07-31,17.3,18.4,17.3,18.4,18.4,0
2024-08-01,18.2,18.8,18.0,18.0,18.0,7
2024-08-02,17.6,17.6,16.8,16.8,16.8,850
2024-08-05,16.1,16.1,16.1,16.1,16.1,0
2024-08-06,16.4,16.9,16.4,16.9,16.9,0
2024-08-07,16.8,17.4,16.8,17.4,17.4,0
2024-08-08,17.2,17.2,17.2,17.2,17.2,0
2024-08-09,17.9,18.9,17.9,18.9,18.9,0
2024-08-12,18.6,19.5,18.6,19.5,19.5,348
2024-08-13,19.3,19.3,19.3,19.3,19.3,0
2024-08-14,19.4,19.6,19.4,19.6,19.6,0
2024-08-15,19.4,19.4,19.4,19.4,19.4,0
2024-08-16,19.6,19.8,19.6,19.7,19.7,130
2024-08-19,19.4,19.5,19.4,19.5,19.5,0
2024-08-20,19.5,19.5,19.4,19.4,19.4,0
2024-08-21,19.2,19.2,18.9,18.9,18.9,36
2024-08-22,18.8,18.8,18.6,18.6,18.6,0
2024-08-23,18.4,18.7,18.4,18.7,18.7,0
2024-08-26,18.7,18.7,18.7,18.7,18.7,0
2024-08-27,18.9,19.3,18.9,19.3,19.3,0
2024-08-28,19.2,19.5,19.2,19.5,19.5,0
2024-08-29,19.4,20.0,19.4,20.0,20.0,0
2024-08-30,20.4,21.2,20.4,21.2,21.2,0
2024-09-02,21.2,21.2,21.2,21.2,21.2,0
2024-09-03,21.4,21.4,20.8,20.8,20.8,0
2024-09-04,20.8,21.4,20.8,21.4,21.4,0
2024-09-05,21.6,21.6,21.4,21.4,21.4,0
2024-09-06,21.4,21.4,21.0,21.0,21.0,0
2024-09-09,21.0,21.0,21.0,21.0,21.0,0
2024-09-10,21.0,21.0,20.4,20.4,20.4,0
2024-09-11,20.4,20.6,20.4,20.6,20.6,0
2024-09-12,20.8,20.8,20.8,20.8,20.8,0
2024-09-13,20.8,20.8,20.8,20.8,20.8,0
2024-09-16,20.8,21.2,20.8,21.2,21.2,0
2024-09-17,21.4,21.4,21.0,21.0,21.0,0
2024-09-18,21.2,21.2,21.2,21.2,21.2,0
2024-09-19,21.2,21.2,21.2,21.2,21.2,0
2024-09-20,21.6,21.6,21.0,21.0,21.0,0
2024-09-23,21.2,21.2,21.2,21.2,21.2,0
2024-09-24,20.6,20.6,20.2,20.2,20.2,0
2024-09-25,20.2,20.2,19.9,19.9,19.9,0
2024-09-26,19.8,19.8,19.7,19.7,19.7,0
2024-09-27,19.6,19.6,19.4,19.4,19.4,0
2024-09-30,19.2,19.2,19.2,19.2,19.2,0
2024-10-01,18.8,18.8,18.8,18.8,18.8,0
2024-10-02,19.3,19.6,19.3,19.6,19.6,0
2024-10-03,19.4,20.0,19.4,20.0,20.0,0
2024-10-04,20.2,20.2,20.2,20.2,20.2,0
2024-10-07,20.2,20.2,19.9,19.9,19.9,250
2024-10-08,19.9,19.9,19.7,19.9,19.9,250
2024-10-09,19.9,21.8,19.9,21.4,21.4,50
2024-10-10,21.4,22.0,21.4,22.0,22.0,0
2024-10-11,21.8,22.0,21.8,22.0,22.0,800
2024-10-14,22.6,23.0,22.6,23.0,23.0,849
2024-10-15,23.0,23.4,23.0,23.4,23.4,0
2024-10-16,23.6,23.6,22.8,22.8,22.8,0
2024-10-17,22.8,23.0,22.8,23.0,23.0,0
2024-10-18,23.0,23.0,23.0,23.0,23.0,0
2024-10-21,23.2,23.2,23.2,23.2,23.2,0
2024-10-22,23.0,23.0,23.0,23.0,23.0,0
2024-10-23,23.0,23.2,22.2,22.2,22.2,88
2024-10-24,22.4,23.2,22.4,23.2,23.2,0
2024-10-25,23.0,23.0,23.0,23.0,23.0,0
2024-10-28,23.2,23.6,23.0,23.4,23.4,1113
